symbol,month,expected_sessions,observed_sessions,complete_ohlc_sessions,missing_ohlc_sessions,volume_null_sessions,volume_zero_sessions
SPY,2009-03,22,22,22,0,0,0
SPY,2009-04,21,21,21,0,0,0
SPY,2009-05,20,20,20,0,0,0
SPY,2009-06,22,22,22,0,0,0
SPY,2009-07,22,22,22,0,0,0
SPY,2009-08,21,21,21,0,0,0
SPY,2009-09,21,21,21,0,0,0
SPY,2009-10,22,22,22,0,0,0
SPY,2009-11,20,20,20,0,0,0
SPY,2009-12,22,22,22,0,0,0
SPY,2010-01,19,19,19,0,0,0
SPY,2010-02,19,19,19,0,0,0
SPY,2010-03,23,23,23,0,0,0
SPY,2010-04,21,21,21,0,0,0
SPY,2010-05,20,20,20,0,0,0
SPY,2010-06,22,22,22,0,0,0
SPY,2010-07,21,21,21,0,0,0
SPY,2010-08,22,22,22,0,0,0
SPY,2010-09,21,21,21,0,0,0
SPY,2010-10,21,21,21,0,0,0
SPY,2010-11,21,21,21,0,0,0
SPY,2010-12,22,22,22,0,0,0
SPY,2011-01,20,20,20,0,0,0
SPY,2011-02,19,19,19,0,0,0
SPY,2011-03,23,23,23,0,0,0
SPY,2011-04,20,20,20,0,0,0
SPY,2011-05,21,21,21,0,0,0
SPY,2011-06,22,22,22,0,0,0
SPY,2011-07,20,20,20,0,0,0
SPY,2011-08,23,23,23,0,0,0
SPY,2011-09,21,21,21,0,0,0
SPY,2011-10,21,21,21,0,0,0
SPY,2011-11,21,21,21,0,0,0
SPY,2011-12,21,21,21,0,0,0
SPY,2012-01,20,20,20,0,0,0
SPY,2012-02,20,20,20,0,0,0
SPY,2012-03,22,22,22,0,0,0
SPY,2012-04,20,20,20,0,0,0
SPY,2012-05,22,22,22,0,0,0
SPY,2012-06,21,21,21,0,0,0
SPY,2012-07,21,21,21,0,0,0
SPY,2012-08,23,23,23,0,0,0
SPY,2012-09,19,19,19,0,0,0
SPY,2012-10,21,21,21,0,0,0
SPY,2012-11,21,21,21,0,0,0
SPY,2012-12,20,20,20,0,0,0
SPY,2013-01,21,21,21,0,0,0
SPY,2013-02,19,19,19,0,0,0
SPY,2013-03,20,20,20,0,0,0
SPY,2013-04,22,22,22,0,0,0
SPY,2013-05,22,22,22,0,0,0
SPY,2013-06,20,20,20,0,0,0
SPY,2013-07,22,22,22,0,0,0
SPY,2013-08,22,22,22,0,0,0
SPY,2013-09,20,20,20,0,0,0
SPY,2013-10,23,23,23,0,0,0
SPY,2013-11,20,20,20,0,0,0
SPY,2013-12,21,21,21,0,0,0
SPY,2014-01,21,21,21,0,0,0
SPY,2014-02,19,19,19,0,0,0
SPY,2014-03,21,21,21,0,0,0
SPY,2014-04,21,21,21,0,0,0
SPY,2014-05,21,21,21,0,0,0
SPY,2014-06,21,21,21,0,0,0
SPY,2014-07,22,22,22,0,0,0
SPY,2014-08,21,21,21,0,0,0
SPY,2014-09,21,21,21,0,0,0
SPY,2014-10,23,23,23,0,0,0
SPY,2014-11,19,19,19,0,0,0
SPY,2014-12,22,22,22,0,0,0
SPY,2015-01,20,20,20,0,0,0
SPY,2015-02,19,19,19,0,0,0
SPY,2015-03,22,22,22,0,0,0
SPY,2015-04,21,21,21,0,0,0
SPY,2015-05,20,20,20,0,0,0
SPY,2015-06,22,22,22,0,0,0
SPY,2015-07,22,22,22,0,0,0
SPY,2015-08,21,21,21,0,0,0
SPY,2015-09,21,21,21,0,0,0
SPY,2015-10,22,22,22,0,0,0
SPY,2015-11,20,20,20,0,0,0
SPY,2015-12,22,22,22,0,0,0
SPY,2016-01,19,19,19,0,0,0
SPY,2016-02,20,20,20,0,0,0
SPY,2016-03,22,22,22,0,0,0
SPY,2016-04,21,21,21,0,0,0
SPY,2016-05,21,21,21,0,0,0
SPY,2016-06,22,22,22,0,0,0
SPY,2016-07,20,20,20,0,0,0
SPY,2016-08,23,23,23,0,0,0
SPY,2016-09,21,21,21,0,0,0
SPY,2016-10,21,21,21,0,0,0
SPY,2016-11,21,21,21,0,0,0
SPY,2016-12,21,21,21,0,0,0
QQQ,2003-01,21,21,21,0,0,0
QQQ,2003-02,19,19,19,0,0,0
QQQ,2003-03,21,21,21,0,0,0
QQQ,2003-04,21,21,21,0,0,0
QQQ,2003-05,21,21,21,0,0,0
QQQ,2003-06,21,21,21,0,0,0
QQQ,2003-07,22,22,22,0,0,0
QQQ,2003-08,21,21,21,0,0,0
QQQ,2003-09,21,21,21,0,0,0
QQQ,2003-10,23,23,23,0,0,0
QQQ,2003-11,19,19,19,0,0,0
QQQ,2003-12,22,22,22,0,0,0
QQQ,2004-01,20,20,20,0,0,0
QQQ,2004-02,19,19,19,0,0,0
QQQ,2004-03,23,23,23,0,0,0
QQQ,2004-04,21,21,21,0,0,0
QQQ,2004-05,20,20,20,0,0,0
QQQ,2004-06,21,21,21,0,0,0
QQQ,2004-07,21,21,21,0,0,0
QQQ,2004-08,22,22,22,0,0,0
QQQ,2004-09,21,21,21,0,0,0
QQQ,2004-10,21,21,21,0,0,0
QQQ,2004-11,21,21,21,0,0,0
QQQ,2004-12,22,22,22,0,0,0
QQQ,2005-01,20,20,20,0,0,0
QQQ,2005-02,19,19,19,0,0,0
QQQ,2005-03,22,22,22,0,0,0
QQQ,2005-04,21,21,21,0,0,0
QQQ,2005-05,21,21,21,0,0,0
QQQ,2005-06,22,22,22,0,0,0
QQQ,2005-07,20,20,20,0,0,0
QQQ,2005-08,23,23,23,0,0,0
QQQ,2005-09,21,21,21,0,0,0
QQQ,2005-10,21,21,21,0,0,0
QQQ,2005-11,21,21,21,0,0,0
QQQ,2005-12,21,21,21,0,0,0
QQQ,2006-01,20,20,20,0,0,0
QQQ,2006-02,19,19,19,0,0,0
QQQ,2006-03,23,23,23,0,0,0
QQQ,2006-04,19,19,19,0,0,0
QQQ,2006-05,22,22,22,0,0,0
QQQ,2006-06,22,22,22,0,0,0
QQQ,2006-07,20,20,20,0,0,0
QQQ,2006-08,23,23,23,0,0,0
QQQ,2006-09,20,20,20,0,0,0
QQQ,2006-10,22,22,22,0,0,0
QQQ,2006-11,21,21,21,0,0,0
QQQ,2006-12,20,20,20,0,0,0
QQQ,2007-01,20,20,20,0,0,0
QQQ,2007-02,19,19,19,0,0,0
QQQ,2007-03,22,22,22,0,0,0
QQQ,2007-04,20,20,20,0,0,0
QQQ,2007-05,22,22,22,0,0,0
QQQ,2007-06,21,21,21,0,0,0
QQQ,2007-07,21,21,21,0,0,0
QQQ,2007-08,23,23,23,0,0,0
QQQ,2007-09,19,19,19,0,0,0
QQQ,2007-10,23,23,23,0,0,0
QQQ,2007-11,21,21,21,0,0,0
QQQ,2007-12,20,20,20,0,0,0
QQQ,2008-01,21,21,21,0,0,0
QQQ,2008-02,20,20,20,0,0,0
QQQ,2008-03,20,20,20,0,0,0
QQQ,2008-04,22,22,22,0,0,0
QQQ,2008-05,21,21,21,0,0,0
QQQ,2008-06,21,21,21,0,0,0
QQQ,2008-07,22,22,22,0,0,0
QQQ,2008-08,21,21,21,0,0,0
QQQ,2008-09,21,21,21,0,0,0
QQQ,2008-10,23,23,23,0,0,0
QQQ,2008-11,19,19,19,0,0,0
QQQ,2008-12,22,22,22,0,0,0
QQQ,2009-01,20,20,20,0,0,0
QQQ,2009-02,19,19,19,0,0,0
QQQ,2009-03,22,22,22,0,0,0
QQQ,2009-04,21,21,21,0,0,0
QQQ,2009-05,20,20,20,0,0,0
QQQ,2009-06,22,22,22,0,0,0
QQQ,2009-07,22,22,22,0,0,0
QQQ,2009-08,21,21,21,0,0,0
QQQ,2009-09,21,21,21,0,0,0
QQQ,2009-10,22,22,22,0,0,0
QQQ,2009-11,20,20,20,0,0,0
QQQ,2009-12,22,22,22,0,0,0
QQQ,2010-01,19,19,19,0,0,0
QQQ,2010-02,19,19,19,0,0,0
QQQ,2010-03,23,23,23,0,0,0
QQQ,2010-04,21,21,21,0,0,0
QQQ,2010-05,20,20,20,0,0,0
QQQ,2010-06,22,22,22,0,0,0
QQQ,2010-07,21,21,21,0,0,0
QQQ,2010-08,22,22,22,0,0,0
QQQ,2010-09,21,21,21,0,0,0
QQQ,2010-10,21,21,21,0,0,0
QQQ,2010-11,21,21,21,0,0,0
QQQ,2010-12,22,22,22,0,0,0
QQQ,2011-01,20,20,20,0,0,0
QQQ,2011-02,19,19,19,0,0,0
QQQ,2011-03,23,23,23,0,0,0
QQQ,2011-04,20,20,20,0,0,0
QQQ,2011-05,21,21,21,0,0,0
QQQ,2011-06,22,22,22,0,0,0
QQQ,2011-07,20,20,20,0,0,0
QQQ,2011-08,23,23,23,0,0,0
QQQ,2011-09,21,21,21,0,0,0
QQQ,2011-10,21,21,21,0,0,0
QQQ,2011-11,21,21,21,0,0,0
QQQ,2011-12,21,21,21,0,0,0
QQQ,2012-01,20,20,20,0,0,0
QQQ,2012-02,20,20,20,0,0,0
QQQ,2012-03,22,22,22,0,0,0
QQQ,2012-04,20,20,20,0,0,0
QQQ,2012-05,22,22,22,0,0,0
QQQ,2012-06,21,21,21,0,0,0
QQQ,2012-07,21,21,21,0,0,0
QQQ,2012-08,23,23,23,0,0,0
QQQ,2012-09,19,19,19,0,0,0
QQQ,2012-10,21,21,21,0,0,0
QQQ,2012-11,21,21,21,0,0,0
QQQ,2012-12,20,20,20,0,0,0
QQQ,2013-01,21,21,21,0,0,0
QQQ,2013-02,19,19,19,0,0,0
QQQ,2013-03,20,20,20,0,0,0
QQQ,2013-04,22,22,22,0,0,0
QQQ,2013-05,22,22,22,0,0,0
QQQ,2013-06,20,20,20,0,0,0
QQQ,2013-07,22,22,22,0,0,0
QQQ,2013-08,22,22,22,0,0,0
QQQ,2013-09,20,20,20,0,0,0
QQQ,2013-10,23,23,23,0,0,0
QQQ,2013-11,20,20,20,0,0,0
QQQ,2013-12,21,21,21,0,0,0
QQQ,2014-01,21,21,21,0,0,0
QQQ,2014-02,19,19,19,0,0,0
QQQ,2014-03,21,21,21,0,0,0
QQQ,2014-04,21,21,21,0,0,0
QQQ,2014-05,21,21,21,0,0,0
QQQ,2014-06,21,21,21,0,0,0
QQQ,2014-07,22,22,22,0,0,0
QQQ,2014-08,21,21,21,0,0,0
QQQ,2014-09,21,21,21,0,0,0
QQQ,2014-10,23,23,23,0,0,0
QQQ,2014-11,19,19,19,0,0,0
QQQ,2014-12,22,22,22,0,0,0
QQQ,2015-01,20,20,20,0,0,0
QQQ,2015-02,19,19,19,0,0,0
QQQ,2015-03,22,22,22,0,0,0
QQQ,2015-04,21,21,21,0,0,0
QQQ,2015-05,20,20,20,0,0,0
QQQ,2015-06,22,22,22,0,0,0
QQQ,2015-07,22,22,22,0,0,0
QQQ,2015-08,21,21,21,0,0,0
QQQ,2015-09,21,21,21,0,0,0
QQQ,2015-10,22,22,22,0,0,0
QQQ,2015-11,20,20,20,0,0,0
QQQ,2015-12,22,22,22,0,0,0
QQQ,2016-01,19,19,19,0,0,0
QQQ,2016-02,20,20,20,0,0,0
QQQ,2016-03,22,22,22,0,0,0
QQQ,2016-04,21,21,21,0,0,0
QQQ,2016-05,21,21,21,0,0,0
QQQ,2016-06,22,22,22,0,0,0
QQQ,2016-07,20,20,20,0,0,0
QQQ,2016-08,23,23,23,0,0,0
QQQ,2016-09,21,21,21,0,0,0
QQQ,2016-10,21,21,21,0,0,0
QQQ,2016-11,21,21,21,0,0,0
QQQ,2016-12,21,21,21,0,0,0
IWM,2003-01,21,21,21,0,0,0
IWM,2003-02,19,19,19,0,0,0
IWM,2003-03,21,21,21,0,0,0
IWM,2003-04,21,21,21,0,0,0
IWM,2003-05,21,21,21,0,0,0
IWM,2003-06,21,21,21,0,0,0
IWM,2003-07,22,22,22,0,0,0
IWM,2003-08,21,21,21,0,0,0
IWM,2003-09,21,21,21,0,0,0
IWM,2003-10,23,23,23,0,0,0
IWM,2003-11,19,19,19,0,0,0
IWM,2003-12,22,22,22,0,0,0
IWM,2004-01,20,20,20,0,0,0
IWM,2004-02,19,19,19,0,0,0
IWM,2004-03,23,23,23,0,0,0
IWM,2004-04,21,21,21,0,0,0
IWM,2004-05,20,20,20,0,0,0
IWM,2004-06,21,21,21,0,0,0
IWM,2004-07,21,21,21,0,0,0
IWM,2004-08,22,22,22,0,0,0
IWM,2004-09,21,21,21,0,0,0
IWM,2004-10,21,21,21,0,0,0
IWM,2004-11,21,21,21,0,0,0
IWM,2004-12,22,22,22,0,0,0
IWM,2005-01,20,20,20,0,0,0
IWM,2005-02,19,19,19,0,0,0
IWM,2005-03,22,22,22,0,0,0
IWM,2005-04,21,21,21,0,0,0
IWM,2005-05,21,21,21,0,0,0
IWM,2005-06,22,22,22,0,0,0
IWM,2005-07,20,20,20,0,0,0
IWM,2005-08,23,23,23,0,0,0
IWM,2005-09,21,21,21,0,0,0
IWM,2005-10,21,21,21,0,0,0
IWM,2005-11,21,21,21,0,0,0
IWM,2005-12,21,21,21,0,0,0
IWM,2006-01,20,20,20,0,0,0
IWM,2006-02,19,19,19,0,0,0
IWM,2006-03,23,23,23,0,0,0
IWM,2006-04,19,19,19,0,0,0
IWM,2006-05,22,22,22,0,0,0
IWM,2006-06,22,22,22,0,0,0
IWM,2006-07,20,20,20,0,0,0
IWM,2006-08,23,23,23,0,0,0
IWM,2006-09,20,20,20,0,0,0
IWM,2006-10,22,22,22,0,0,0
IWM,2006-11,21,21,21,0,0,0
IWM,2006-12,20,20,20,0,0,0
IWM,2007-01,20,20,20,0,0,0
IWM,2007-02,19,19,19,0,0,0
IWM,2007-03,22,22,22,0,0,0
IWM,2007-04,20,20,20,0,0,0
IWM,2007-05,22,22,22,0,0,0
IWM,2007-06,21,21,21,0,0,0
IWM,2007-07,21,21,21,0,0,0
IWM,2007-08,23,23,23,0,0,0
IWM,2007-09,19,19,19,0,0,0
IWM,2007-10,23,23,23,0,0,0
IWM,2007-11,21,21,21,0,0,0
IWM,2007-12,20,20,20,0,0,0
IWM,2008-01,21,21,21,0,0,0
IWM,2008-02,20,20,20,0,0,0
IWM,2008-03,20,20,20,0,0,0
IWM,2008-04,22,22,22,0,0,0
IWM,2008-05,21,21,21,0,0,0
IWM,2008-06,21,21,21,0,0,0
IWM,2008-07,22,22,22,0,0,0
IWM,2008-08,21,21,21,0,0,0
IWM,2008-09,21,21,21,0,0,0
IWM,2008-10,23,23,23,0,0,0
IWM,2008-11,19,19,19,0,0,0
IWM,2008-12,22,22,22,0,0,0
IWM,2009-01,20,20,20,0,0,0
IWM,2009-02,19,19,19,0,0,0
IWM,2009-03,22,22,22,0,0,0
IWM,2009-04,21,21,21,0,0,0
IWM,2009-05,20,20,20,0,0,0
IWM,2009-06,22,22,22,0,0,0
IWM,2009-07,22,22,22,0,0,0
IWM,2009-08,21,21,21,0,0,0
IWM,2009-09,21,21,21,0,0,0
IWM,2009-10,22,22,22,0,0,0
IWM,2009-11,20,20,20,0,0,0
IWM,2009-12,22,22,22,0,0,0
IWM,2010-01,19,19,19,0,0,0
IWM,2010-02,19,19,19,0,0,0
IWM,2010-03,23,23,23,0,0,0
IWM,2010-04,21,21,21,0,0,0
IWM,2010-05,20,20,20,0,0,0
IWM,2010-06,22,22,22,0,0,0
IWM,2010-07,21,21,21,0,0,0
IWM,2010-08,22,22,22,0,0,0
IWM,2010-09,21,21,21,0,0,0
IWM,2010-10,21,21,21,0,0,0
IWM,2010-11,21,21,21,0,0,0
IWM,2010-12,22,22,22,0,0,0
IWM,2011-01,20,20,20,0,0,0
IWM,2011-02,19,19,19,0,0,0
IWM,2011-03,23,23,23,0,0,0
IWM,2011-04,20,20,20,0,0,0
IWM,2011-05,21,21,21,0,0,0
IWM,2011-06,22,22,22,0,0,0
IWM,2011-07,20,20,20,0,0,0
IWM,2011-08,23,23,23,0,0,0
IWM,2011-09,21,21,21,0,0,0
IWM,2011-10,21,21,21,0,0,0
IWM,2011-11,21,21,21,0,0,0
IWM,2011-12,21,21,21,0,0,0
IWM,2012-01,20,20,20,0,0,0
IWM,2012-02,20,20,20,0,0,0
IWM,2012-03,22,22,22,0,0,0
IWM,2012-04,20,20,20,0,0,0
IWM,2012-05,22,22,22,0,0,0
IWM,2012-06,21,21,21,0,0,0
IWM,2012-07,21,21,21,0,0,0
IWM,2012-08,23,23,23,0,0,0
IWM,2012-09,19,19,19,0,0,0
IWM,2012-10,21,21,21,0,0,0
IWM,2012-11,21,21,21,0,0,0
IWM,2012-12,20,20,20,0,0,0
IWM,2013-01,21,21,21,0,0,0
IWM,2013-02,19,19,19,0,0,0
IWM,2013-03,20,20,20,0,0,0
IWM,2013-04,22,22,22,0,0,0
IWM,2013-05,22,22,22,0,0,0
IWM,2013-06,20,20,20,0,0,0
IWM,2013-07,22,22,22,0,0,0
IWM,2013-08,22,22,22,0,0,0
IWM,2013-09,20,20,20,0,0,0
IWM,2013-10,23,23,23,0,0,0
IWM,2013-11,20,20,20,0,0,0
IWM,2013-12,21,21,21,0,0,0
IWM,2014-01,21,21,21,0,0,0
IWM,2014-02,19,19,19,0,0,0
IWM,2014-03,21,21,21,0,0,0
IWM,2014-04,21,21,21,0,0,0
IWM,2014-05,21,21,21,0,0,0
IWM,2014-06,21,21,21,0,0,0
IWM,2014-07,22,22,22,0,0,0
IWM,2014-08,21,21,21,0,0,0
IWM,2014-09,21,21,21,0,0,0
IWM,2014-10,23,23,23,0,0,0
IWM,2014-11,19,19,19,0,0,0
IWM,2014-12,22,22,22,0,0,0
IWM,2015-01,20,20,20,0,0,0
IWM,2015-02,19,19,19,0,0,0
IWM,2015-03,22,22,22,0,0,0
IWM,2015-04,21,21,21,0,0,0
IWM,2015-05,20,20,20,0,0,0
IWM,2015-06,22,22,22,0,0,0
IWM,2015-07,22,22,22,0,0,0
IWM,2015-08,21,21,21,0,0,0
IWM,2015-09,21,21,21,0,0,0
IWM,2015-10,22,22,22,0,0,0
IWM,2015-11,20,20,20,0,0,0
IWM,2015-12,22,22,22,0,0,0
IWM,2016-01,19,19,19,0,0,0
IWM,2016-02,20,20,20,0,0,0
IWM,2016-03,22,22,22,0,0,0
IWM,2016-04,21,21,21,0,0,0
IWM,2016-05,21,21,21,0,0,0
IWM,2016-06,22,22,22,0,0,0
IWM,2016-07,20,20,20,0,0,0
IWM,2016-08,23,23,23,0,0,0
IWM,2016-09,21,21,21,0,0,0
IWM,2016-10,21,21,21,0,0,0
IWM,2016-11,21,21,21,0,0,0
IWM,2016-12,21,21,21,0,0,0
DIA,2003-01,21,21,21,0,0,0
DIA,2003-02,19,19,19,0,0,0
DIA,2003-03,21,21,21,0,0,0
DIA,2003-04,21,21,21,0,0,0
DIA,2003-05,21,21,21,0,0,0
DIA,2003-06,21,21,21,0,0,0
DIA,2003-07,22,22,22,0,0,0
DIA,2003-08,21,21,21,0,0,0
DIA,2003-09,21,21,21,0,0,0
DIA,2003-10,23,23,23,0,0,0
DIA,2003-11,19,19,19,0,0,0
DIA,2003-12,22,22,22,0,0,0
DIA,2004-01,20,20,20,0,0,0
DIA,2004-02,19,19,19,0,0,0
DIA,2004-03,23,23,23,0,0,0
DIA,2004-04,21,21,21,0,0,0
DIA,2004-05,20,20,20,0,0,0
DIA,2004-06,21,21,21,0,0,0
DIA,2004-07,21,21,21,0,0,0
DIA,2004-08,22,22,22,0,0,0
DIA,2004-09,21,21,21,0,0,0
DIA,2004-10,21,21,21,0,0,0
DIA,2004-11,21,21,21,0,0,0
DIA,2004-12,22,22,22,0,0,0
DIA,2005-01,20,20,20,0,0,0
DIA,2005-02,19,19,19,0,0,0
DIA,2005-03,22,22,22,0,0,0
DIA,2005-04,21,21,21,0,0,0
DIA,2005-05,21,21,21,0,0,0
DIA,2005-06,22,22,22,0,0,0
DIA,2005-07,20,20,20,0,0,0
DIA,2005-08,23,23,23,0,0,0
DIA,2005-09,21,21,21,0,0,0
DIA,2005-10,21,21,21,0,0,0
DIA,2005-11,21,21,21,0,0,0
DIA,2005-12,21,21,21,0,0,0
DIA,2006-01,20,20,20,0,0,0
DIA,2006-02,19,19,19,0,0,0
DIA,2006-03,23,23,23,0,0,0
DIA,2006-04,19,19,19,0,0,0
DIA,2006-05,22,22,22,0,0,0
DIA,2006-06,22,22,22,0,0,0
DIA,2006-07,20,20,20,0,0,0
DIA,2006-08,23,23,23,0,0,0
DIA,2006-09,20,20,20,0,0,0
DIA,2006-10,22,22,22,0,0,0
DIA,2006-11,21,21,21,0,0,0
DIA,2006-12,20,20,20,0,0,0
DIA,2007-01,20,20,20,0,0,0
DIA,2007-02,19,19,19,0,0,0
DIA,2007-03,22,22,22,0,0,0
DIA,2007-04,20,20,20,0,0,0
DIA,2007-05,22,22,22,0,0,0
DIA,2007-06,21,21,21,0,0,0
DIA,2007-07,21,21,21,0,0,0
DIA,2007-08,23,23,23,0,0,0
DIA,2007-09,19,19,19,0,0,0
DIA,2007-10,23,23,23,0,0,0
DIA,2007-11,21,21,21,0,0,0
DIA,2007-12,20,20,20,0,0,0
DIA,2008-01,21,21,21,0,0,0
DIA,2008-02,20,20,20,0,0,0
DIA,2008-03,20,20,20,0,0,0
DIA,2008-04,22,22,22,0,0,0
DIA,2008-05,21,21,21,0,0,0
DIA,2008-06,21,21,21,0,0,0
DIA,2008-07,22,22,22,0,0,0
DIA,2008-08,21,21,21,0,0,0
DIA,2008-09,21,21,21,0,0,0
DIA,2008-10,23,23,23,0,0,0
DIA,2008-11,19,19,19,0,0,0
DIA,2008-12,22,22,22,0,0,0
DIA,2009-01,20,20,20,0,0,0
DIA,2009-02,19,19,19,0,0,0
DIA,2009-03,22,22,22,0,0,0
DIA,2009-04,21,21,21,0,0,0
DIA,2009-05,20,20,20,0,0,0
DIA,2009-06,22,22,22,0,0,0
DIA,2009-07,22,22,22,0,0,0
DIA,2009-08,21,21,21,0,0,0
DIA,2009-09,21,21,21,0,0,0
DIA,2009-10,22,22,22,0,0,0
DIA,2009-11,20,20,20,0,0,0
DIA,2009-12,22,22,22,0,0,0
DIA,2010-01,19,19,19,0,0,0
DIA,2010-02,19,19,19,0,0,0
DIA,2010-03,23,23,23,0,0,0
DIA,2010-04,21,21,21,0,0,0
DIA,2010-05,20,20,20,0,0,0
DIA,2010-06,22,22,22,0,0,0
DIA,2010-07,21,21,21,0,0,0
DIA,2010-08,22,22,22,0,0,0
DIA,2010-09,21,21,21,0,0,0
DIA,2010-10,21,21,21,0,0,0
DIA,2010-11,21,21,21,0,0,0
DIA,2010-12,22,22,22,0,0,0
DIA,2011-01,20,20,20,0,0,0
DIA,2011-02,19,19,19,0,0,0
DIA,2011-03,23,23,23,0,0,0
DIA,2011-04,20,20,20,0,0,0
DIA,2011-05,21,21,21,0,0,0
DIA,2011-06,22,22,22,0,0,0
DIA,2011-07,20,20,20,0,0,0
DIA,2011-08,23,23,23,0,0,0
DIA,2011-09,21,21,21,0,0,0
DIA,2011-10,21,21,21,0,0,0
DIA,2011-11,21,21,21,0,0,0
DIA,2011-12,21,21,21,0,0,0
DIA,2012-01,20,20,20,0,0,0
DIA,2012-02,20,20,20,0,0,0
DIA,2012-03,22,22,22,0,0,0
DIA,2012-04,20,20,20,0,0,0
DIA,2012-05,22,22,22,0,0,0
DIA,2012-06,21,21,21,0,0,0
DIA,2012-07,21,21,21,0,0,0
DIA,2012-08,23,23,23,0,0,0
DIA,2012-09,19,19,19,0,0,0
DIA,2012-10,21,21,21,0,0,0
DIA,2012-11,21,21,21,0,0,0
DIA,2012-12,20,20,20,0,0,0
DIA,2013-01,21,21,21,0,0,0
DIA,2013-02,19,19,19,0,0,0
DIA,2013-03,20,20,20,0,0,0
DIA,2013-04,22,22,22,0,0,0
DIA,2013-05,22,22,22,0,0,0
DIA,2013-06,20,20,20,0,0,0
DIA,2013-07,22,22,22,0,0,0
DIA,2013-08,22,22,22,0,0,0
DIA,2013-09,20,20,20,0,0,0
DIA,2013-10,23,23,23,0,0,0
DIA,2013-11,20,20,20,0,0,0
DIA,2013-12,21,21,21,0,0,0
DIA,2014-01,21,21,21,0,0,0
DIA,2014-02,19,19,19,0,0,0
DIA,2014-03,21,21,21,0,0,0
DIA,2014-04,21,21,21,0,0,0
DIA,2014-05,21,21,21,0,0,0
DIA,2014-06,21,21,21,0,0,0
DIA,2014-07,22,22,22,0,0,0
DIA,2014-08,21,21,21,0,0,0
DIA,2014-09,21,21,21,0,0,0
DIA,2014-10,23,23,23,0,0,0
DIA,2014-11,19,19,19,0,0,0
DIA,2014-12,22,22,22,0,0,0
DIA,2015-01,20,20,20,0,0,0
DIA,2015-02,19,19,19,0,0,0
DIA,2015-03,22,22,22,0,0,0
DIA,2015-04,21,21,21,0,0,0
